2026-02-07 12:37:33 status unpacked dpkg:amd64 1.22.21
2026-02-07 12:37:33 install findutils:amd64 <none> 4.10.0-3
2026-02-07 12:37:33 status half-installed findutils:amd64 4.10.0-3
2026-02-07 12:37:33 status unpacked findutils:amd64 4.10.0-3
2026-02-07 12:37:33 install gcc-14-base:amd64 <none> 14.2.0-19
2026-02-07 12:37:33 status half-installed gcc-14-base:amd64 14.2.0-19
2026-02-07 12:37:33 status unpacked gcc-14-base:amd64 14.2.0-19
2026-02-07 12:37:33 install grep:amd64 <none> 3.11-4
2026-02-07 12:37:33 status half-installed grep:amd64 3.11-4
2026-02-07 12:37:33 status unpacked grep:amd64 3.11-4
2026-02-07 12:37:33 install gzip:amd64 <none> 1.13-1
2026-02-07 12:37:33 status half-installed gzip:amd64 1.13-1
2026-02-07 12:37:33 status unpacked gzip:amd64 1.13-1
2026-02-07 12:37:33 install hostname:amd64 <none> 3.25
2026-02-07 12:37:33 status half-installed hostname:amd64 3.25
2026-02-07 12:37:33 status unpacked hostname:amd64 3.25
2026-02-07 12:37:33 install init-system-helpers:all <none> 1.69~deb13u1
2026-02-07 12:37:33 status half-installed init-system-helpers:all 1.69~deb13u1
2026-02-07 12:37:33 status unpacked init-system-helpers:all 1.69~deb13u1
2026-02-07 12:37:33 install libacl1:amd64 <none> 2.3.2-2+b1
2026-02-07 12:37:33 status half-installed libacl1:amd64 2.3.2-2+b1
2026-02-07 12:37:33 status unpacked libacl1:amd64 2.3.2-2+b1
2026-02-07 12:37:33 install libapt-pkg7.0:amd64 <none> 3.0.3
2026-02-07 12:37:33 status half-installed libapt-pkg7.0:amd64 3.0.3
2026-02-07 12:37:33 status unpacked libapt-pkg7.0:amd64 3.0.3
2026-02-07 12:37:33 install libattr1:amd64 <none> 1:2.5.2-3
2026-02-07 12:37:33 status half-installed libattr1:amd64 1:2.5.2-3
2026-02-07 12:37:33 status unpacked libattr1:amd64 1:2.5.2-3
2026-02-07 12:37:33 install libaudit-common:all <none> 1:4.0.2-2
2026-02-07 12:37:33 status half-installed libaudit-common:all 1:4.0.2-2
2026-02-07 12:37:33 status unpacked libaudit-common:all 1:4.0.2-2
2026-02-07 12:37:33 install libaudit1:amd64 <none> 1:4.0.2-2+b2
2026-02-07 12:37:33 status half-installed libaudit1:amd64 1:4.0.2-2+b2
2026-02-07 12:37:33 status unpacked libaudit1:amd64 1:4.0.2-2+b2
2026-02-07 12:37:33 install libblkid1:amd64 <none> 2.41-5
2026-02-07 12:37:33 status half-installed libblkid1:amd64 2.41-5
2026-02-07 12:37:33 status unpacked libblkid1:amd64 2.41-5
2026-02-07 12:37:33 install libbsd0:amd64 <none> 0.12.2-2
2026-02-07 12:37:33 status half-installed libbsd0:amd64 0.12.2-2
2026-02-07 12:37:33 status unpacked libbsd0:amd64 0.12.2-2
2026-02-07 12:37:33 install libbz2-1.0:amd64 <none> 1.0.8-6
2026-02-07 12:37:33 status half-installed libbz2-1.0:amd64 1.0.8-6
2026-02-07 12:37:33 status unpacked libbz2-1.0:amd64 1.0.8-6
2026-02-07 12:37:33 install libc-bin:amd64 <none> 2.41-12+deb13u1
2026-02-07 12:37:33 status half-installed libc-bin:amd64 2.41-12+deb13u1
2026-02-07 12:37:33 status unpacked libc-bin:amd64 2.41-12+deb13u1
2026-02-07 12:37:33 upgrade libc6:amd64 2.41-12+deb13u1 2.41-12+deb13u1
2026-02-07 12:37:33 status half-configured libc6:amd64 2.41-12+deb13u1
2026-02-07 12:37:33 status unpacked libc6:amd64 2.41-12+deb13u1
2026-02-07 12:37:33 status half-installed libc6:amd64 2.41-12+deb13u1
2026-02-07 12:37:34 status unpacked libc6:amd64 2.41-12+deb13u1
2026-02-07 12:37:34 install libcap-ng0:amd64 <none> 0.8.5-4+b1
2026-02-07 12:37:34 status half-installed libcap-ng0:amd64 0.8.5-4+b1
2026-02-07 12:37:34 status unpacked libcap-ng0:amd64 0.8.5-4+b1
2026-02-07 12:37:34 install libcap2:amd64 <none> 1:2.75-10+b3
2026-02-07 12:37:34 status half-installed libcap2:amd64 1:2.75-10+b3
2026-02-07 12:37:34 status unpacked libcap2:amd64 1:2.75-10+b3
2026-02-07 12:37:34 install libcrypt1:amd64 <none> 1:4.4.38-1
2026-02-07 12:37:34 status half-installed libcrypt1:amd64 1:4.4.38-1
2026-02-07 12:37:34 status unpacked libcrypt1:amd64 1:4.4.38-1
2026-02-07 12:37:34 install libdb5.3t64:amd64 <none> 5.3.28+dfsg2-9
2026-02-07 12:37:34 status half-installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-02-07 12:37:34 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-02-07 12:37:34 install libdebconfclient0:amd64 <none> 0.280
2026-02-07 12:37:34 status half-installed libdebconfclient0:amd64 0.280
2026-02-07 12:37:34 status unpacked libdebconfclient0:amd64 0.280
2026-02-07 12:37:34 install libgcc-s1:amd64 <none> 14.2.0-19
